text,dimension_model,dimensions,scores,delta
In many ways I feel frustrated about my achievements in life.,Llama-4,"['Intellectual', 'Emotional', 'Occupational']","[0.3400457203388214, 0.31876713037490845, 0.29176706075668335]",0.05
The amount of stress I feel in my life is quite normal.,Llama-4,['Emotional'],[0.35420265793800354],0.05
"In the past, I have received the best.",Llama-4,"['Emotional', 'Social', 'Spiritual']","[0.12465286254882812, 0.10202639549970627, 0.09706705808639526]",0.05
I tend to feel insecure about my abilities and I have difficulty being loved by others.,Llama-4,['Emotional'],[0.3763425350189209],0.05
I feel lonely,Llama-4,"['Emotional', 'Occupational', 'Social', 'Spiritual', 'Intellectual']","[0.20073172450065613, 0.19887126982212067, 0.198379248380661, 0.18416623771190643, 0.17156729102134705]",0.05
I feel cynical about my skills.,Llama-4,['Intellectual'],[0.3844057023525238],0.05
I have problems in my personal relationships.,Llama-4,['Social'],[0.30525895953178406],0.05
I know my family and friends will always love me and will be there for me if I need them.,Llama-4,['Social'],[0.27253445982933044],0.05
I find that being alone can make me feel bad.,Llama-4,"['Emotional', 'Social']","[0.28751757740974426, 0.2395821511745453]",0.05
I never feel comfortable sharing my family life with others.,Llama-4,['Social'],[0.36063647270202637],0.05
I am not satisfied with my relationships with my family or friends.,Llama-4,"['Social', 'Financial']","[0.31555408239364624, 0.2689630091190338]",0.05
I try to see the funny side of things.,Llama-4,"['Emotional', 'Intellectual', 'Social', 'Financial']","[0.13341058790683746, 0.12548014521598816, 0.12154395878314972, 0.10083144158124924]",0.05
I think most problems that I encounter are related to a person who is self-centered.,Llama-4,"['Emotional', 'Social', 'Intellectual', 'Spiritual']","[0.31757816672325134, 0.30907300114631653, 0.2894934117794037, 0.27902016043663025]",0.05
I try to see the positive side of things when faced with challenges.,Llama-4,['Emotional'],[0.3532325029373169],0.05
I always look on the bright side of things when I am faced with problems.,Llama-4,['Emotional'],[0.3137883245944977],0.05
I sometimes feel as if I have done all there is to do in life.,Llama-4,['Occupational'],[0.39257216453552246],0.05
"I feel as if I've done all there is to do in life and this is a negative thought, as my own personal experiences have",Llama-4,"['Occupational', 'Spiritual']","[0.3686216473579407, 0.3286695182323456]",0.05
I think I might be in an 'ok place'.,Llama-4,['Environmental'],[0.30152055621147156],0.05
I feel like I've never accomplished anything.,Llama-4,"['Occupational', 'Intellectual']","[0.2754189074039459, 0.2532033920288086]",0.05
I am able to handle the demands of everyday life.,Llama-4,['Emotional'],[0.3902260661125183],0.05
"I am capable of managing unpleasant or painful feelings like sadness, fear, and anger.",Llama-4,['Emotional'],[0.543080747127533],0.05
I am comfortable being alone.,Llama-4,"['Social', 'Emotional']","[0.2656784653663635, 0.2355087250471115]",0.05
I believe that life has a purpose.,Llama-4,"['Spiritual', 'Occupational']","[0.33046674728393555, 0.3245493173599243]",0.05
I appreciate the amount of intellectual stimulation I receive in my daily life.,Llama-4,['Intellectual'],[0.6476973295211792],0.05
"Generally, I feel satisfied with my personal life and the amount of intellectual stimulation I receive in my daily life.",Llama-4,['Intellectual'],[0.5342024564743042],0.05
I believe my life's journey should have a purpose.,Llama-4,['Occupational'],[0.46257174015045166],0.05
I enjoy writing.,Llama-4,['Intellectual'],[0.2924630045890808],0.05
I tend to be anxious and scared.,Llama-4,['Emotional'],[0.34722888469696045],0.05
I am unable to reach out and communicate with those around me.,Llama-4,"['Social', 'Emotional']","[0.23163524270057678, 0.19370783865451813]",0.05
I try to stay positive and work through difficulties,Llama-4,"['Emotional', 'Occupational', 'Financial']","[0.3589908182621002, 0.345608651638031, 0.31321874260902405]",0.05
I work to achieve goals.,Llama-4,['Occupational'],[0.4593076705932617],0.05
I am very successful at work and have a stable income.,Llama-4,['Financial'],[0.3692973554134369],0.05
I am good at managing responsibilities of daily life.,Llama-4,"['Occupational', 'Intellectual']","[0.40635958313941956, 0.3673822283744812]",0.05
I am lonely.,Llama-4,"['Social', 'Emotional', 'Spiritual']","[0.21021060645580292, 0.166629821062088, 0.16273951530456543]",0.05
I have a desire to have sex with someone.,Llama-4,"['Spiritual', 'Intellectual', 'Occupational', 'Social']","[0.1381799876689911, 0.10693749785423279, 0.1063852608203888, 0.1039811447262764]",0.05
I would do better if I could have a friend to talk to.,Llama-4,['Social'],[0.2164391726255417],0.05
Maintaining close relationships has been challenging and frustrating for me.,Llama-4,['Social'],[0.33042141795158386],0.05
I scream at friends after I tell them they can't talk to me.,Llama-4,['Social'],[0.21792460978031158],0.05
I am healthy in my relationships and relationships can be difficult but I am strong and confident.,Llama-4,"['Financial', 'Emotional', 'Physical', 'Social']","[0.3012164235115051, 0.30005577206611633, 0.29476383328437805, 0.2616613209247589]",0.05
I have been very frank about my shortcomings.,Llama-4,['Intellectual'],[0.2386421114206314],0.05
Maintaining close relationships has been more rewarding than the last time.,Llama-4,['Social'],[0.26119956374168396],0.05
I don't know where my next big project will take me.,Llama-4,"['Environmental', 'Intellectual']","[0.20812386274337769, 0.17579540610313416]",0.05
I have been dealing with depression and anxiety.,Llama-4,['Emotional'],[0.28839704394340515],0.05
I hope I have a friend who can help me when I feel stressed and need support.,Llama-4,['Emotional'],[0.28798073530197144],0.05
"I hope to have good health, good friends and good chances.",Llama-4,"['Physical', 'Financial']","[0.3231675326824188, 0.29850277304649353]",0.05
I am able to have a productive day without being stressed out by life's issues.,Llama-4,"['Intellectual', 'Occupational']","[0.35518980026245117, 0.35470619797706604]",0.05
I believe that I can still make the best choices for myself and my life.,Llama-4,"['Emotional', 'Physical', 'Spiritual', 'Intellectual']","[0.32230648398399353, 0.2826402187347412, 0.2754390239715576, 0.2744041085243225]",0.05
I am able to trust others when they tell me how to live my life.,Llama-4,"['Spiritual', 'Social', 'Emotional']","[0.38539111614227295, 0.38451898097991943, 0.3456665575504303]",0.05
I believe that my own opinion matters more than other peoples.,Llama-4,"['Social', 'Spiritual']","[0.25869667530059814, 0.2220587432384491]",0.05
"I feel anxious about my emotions, especially when they are related to work or relationships.",Llama-4,['Emotional'],[0.4776337146759033],0.05
I have been happy with my current situation.,Llama-4,"['Financial', 'Emotional']","[0.26037126779556274, 0.25159451365470886]",0.05
My social relationships are superficial.,Llama-4,['Social'],[0.4571177363395691],0.05
"I have confidence in my social relationships, even if they are superficial.",Llama-4,['Social'],[0.4921339452266693],0.05
"I have many friends, but they are superficial.",Llama-4,['Social'],[0.35553207993507385],0.05
"My friends are helpful, and they are there for me when I need help.",Llama-4,['Social'],[0.33143121004104614],0.05
I have plenty of friends who will be there for me when I need help.,Llama-4,['Social'],[0.30703893303871155],0.05
I get help when I need it.,Llama-4,"['Emotional', 'Social', 'Occupational', 'Physical']","[0.18575195968151093, 0.18379363417625427, 0.14576375484466553, 0.14264512062072754]",0.05
I have a good attitude about my life.,Llama-4,"['Intellectual', 'Emotional', 'Spiritual', 'Physical']","[0.30275437235832214, 0.2830039858818054, 0.27766773104667664, 0.27128148078918457]",0.05
I have a high confidence in my own abilities.,Llama-4,['Intellectual'],[0.29357385635375977],0.05
"I always say what I think, and people find this fact attractive.",Llama-4,"['Social', 'Physical']","[0.1927364021539688, 0.17322444915771484]",0.05
"I am a compassionate, open-minded individual who feels valued.",Llama-4,['Spiritual'],[0.43813958764076233],0.05
"I have a desire to achieve more, but sometimes find that I don't.",Llama-4,"['Intellectual', 'Occupational']","[0.35894936323165894, 0.34702083468437195]",0.05
"I am happy with my life in general, and enjoy socializing with friends.",Llama-4,['Social'],[0.5095649361610413],0.05
I often take a negative view of people.,Llama-4,"['Emotional', 'Social']","[0.2855617105960846, 0.2710127830505371]",0.05
I find things to be fun and rewarding.,Llama-4,"['Intellectual', 'Occupational']","[0.4439316391944885, 0.4302848279476166]",0.05
I understand it is always a struggle to find a purpose in life.,Llama-4,['Occupational'],[0.42899060249328613],0.05
I can tolerate the unknown.,Llama-4,['Intellectual'],[0.2039671093225479],0.05
I can handle whatever comes my way.,Llama-4,"['Financial', 'Emotional', 'Intellectual', 'Spiritual']","[0.20151574909687042, 0.19616565108299255, 0.19259274005889893, 0.18711963295936584]",0.05
Stress causes me to be vulnerable in my life.,Llama-4,['Emotional'],[0.45779553055763245],0.05
My positive outlook is largely attributed to exercise.,Llama-4,['Physical'],[0.34856390953063965],0.05
I like to feel that everyone wants to be around me. Having to cope with stress can make me stronger.,Llama-4,['Emotional'],[0.4002988636493683],0.05
Stress is in my life. Having to cope with stress can make me stronger.,Llama-4,['Emotional'],[0.3947564661502838],0.05
"I think I am worth pursuing, though I sometimes feel discouraged.",Llama-4,['Intellectual'],[0.3242322504520416],0.05
I am aware that I sometimes feel like I am not important in my life.,Llama-4,"['Emotional', 'Intellectual', 'Spiritual', 'Social']","[0.3392261564731598, 0.32753652334213257, 0.31901979446411133, 0.299772709608078]",0.05
I find it challenging to work for something that I love.,Llama-4,['Occupational'],[0.39028313755989075],0.05
I have no idea how long it will take me to get to sleep every night.,Llama-4,"['Physical', 'Environmental', 'Intellectual', 'Spiritual', 'Occupational']","[0.059232112020254135, 0.048184432089328766, 0.03783559054136276, 0.030262121930718422, 0.00952721107751131]",0.05
I am usually tired when I get up in the morning and I usually remember to wear a pair of comfy jeans.,Llama-4,['Physical'],[0.14512775838375092],0.05
I am more calm and calmer than I used to be when it comes to getting a good night's sleep.,Llama-4,['Emotional'],[0.34085413813591003],0.05
Having to deal with stress can make me strong.,Llama-4,['Emotional'],[0.40797722339630127],0.05
I don't like having my family take care of me.,Llama-4,"['Physical', 'Social', 'Financial', 'Environmental']","[0.1834198385477066, 0.1668996810913086, 0.14828377962112427, 0.1364935040473938]",0.05
I judge myself to be a happy person.,Llama-4,['Emotional'],[0.33232688903808594],0.05
I feel unsure about my future.,Llama-4,"['Intellectual', 'Financial']","[0.26771560311317444, 0.2559976279735565]",0.05
I have no friends and no family for support.,Llama-4,['Social'],[0.27090132236480713],0.05
"When I had a problem with my mood, I tried and failed.",Llama-4,['Emotional'],[0.31192079186439514],0.05
I feel isolated from others.,Llama-4,['Social'],[0.39119794964790344],0.05
I am socially awkward.,Llama-4,['Social'],[0.38975656032562256],0.05
I am trying to do something positive in my life.,Llama-4,"['Intellectual', 'Spiritual', 'Emotional']","[0.3314131498336792, 0.3255239427089691, 0.30284592509269714]",0.05
I feel good about myself.,Llama-4,"['Physical', 'Spiritual']","[0.3562906086444855, 0.3255022466182709]",0.05
There are times when I feel like the one in the crowd or at a movie theater.,Llama-4,"['Social', 'Emotional']","[0.2150067836046219, 0.18061892688274384]",0.05
It has been difficult to make friends with many people.,Llama-4,['Social'],[0.4313400685787201],0.05
I have experienced many life changes and changes in my life.,Llama-4,"['Emotional', 'Spiritual']","[0.39624935388565063, 0.3949087858200073]",0.05
My body is strong.,Llama-4,"['Physical', 'Spiritual']","[0.2999323308467865, 0.25141462683677673]",0.05
I feel happy about my work.,Llama-4,['Occupational'],[0.36834511160850525],0.05
I feel happy.,Llama-4,['Emotional'],[0.2401953786611557],0.05
I feel unable to make friends because I am always alone,Llama-4,['Social'],[0.3537577986717224],0.05
I am experiencing some life-altering problems.,Llama-4,"['Emotional', 'Intellectual', 'Spiritual', 'Environmental']","[0.25465211272239685, 0.24184060096740723, 0.23572641611099243, 0.2241666615009308]",0.05
"I am content doing so many things alone - Life is not very exciting for me, but it does not hold much hope.",Llama-4,"['Occupational', 'Intellectual']","[0.3573320209980011, 0.3374848961830139]",0.05
I am happy doing so many things alone,Llama-4,"['Occupational', 'Physical', 'Intellectual']","[0.2618101239204407, 0.24901904165744781, 0.21961358189582825]",0.05
I am lonely doing so much alone,Llama-4,['Occupational'],[0.22228866815567017],0.05
I am satisfied with the amount of information I have been able to process so far.,Llama-4,"['Occupational', 'Financial', 'Intellectual']","[0.20430772006511688, 0.1851426213979721, 0.17512188851833344]",0.05
I am often sad.,Llama-4,['Emotional'],[0.3394978642463684],0.05
I always think of the future.,Llama-4,"['Financial', 'Intellectual']","[0.22291667759418488, 0.19898496568202972]",0.05
I live life one day at a time and think about the future a lot.,Llama-4,['Intellectual'],[0.3235211670398712],0.05
I am confident in who I am.,Llama-4,"['Social', 'Intellectual', 'Spiritual', 'Financial', 'Physical', 'Emotional']","[0.23403947055339813, 0.2296733260154724, 0.21763533353805542, 0.20678672194480896, 0.19788245856761932, 0.19236649572849274]",0.05
I get so many people to know me that the others often don't even know me well.,Llama-4,['Social'],[0.319888710975647],0.05
I am confident that I am a good person.,Llama-4,"['Financial', 'Emotional', 'Spiritual', 'Social']","[0.2514130473136902, 0.24376145005226135, 0.2409449815750122, 0.22849063575267792]",0.05
I would rank the past month's sleep quality overall as good overall.,Llama-4,"['Environmental', 'Physical']","[0.12713544070720673, 0.11254104226827621]",0.05
"In general, I think most things happen for a reason.",Llama-4,"['Spiritual', 'Emotional']","[0.21482381224632263, 0.2130846381187439]",0.05
I think that most things happen for a reason.,Llama-4,"['Spiritual', 'Emotional']","[0.20926208794116974, 0.194720059633255]",0.05
I am stressed and feel out of balance.,Llama-4,['Emotional'],[0.30296197533607483],0.05
I expect to be physically healthy in the future.,Llama-4,['Physical'],[0.5366404056549072],0.05
I have an anxiety attack that affects my life.,Llama-4,['Emotional'],[0.3059517443180084],0.05
I am confident that I am in control of my life.,Llama-4,"['Emotional', 'Intellectual', 'Financial', 'Spiritual', 'Physical']","[0.25012490153312683, 0.2496725469827652, 0.24816425144672394, 0.22817015647888184, 0.21557222306728363]",0.05
I have a strong sense of purpose in my life.,Llama-4,"['Occupational', 'Spiritual']","[0.46596968173980713, 0.45260801911354065]",0.05
I am able to communicate and express myself.,Llama-4,"['Spiritual', 'Emotional']","[0.3826228082180023, 0.35365259647369385]",0.05
I am satisfied with my life.,Llama-4,['Occupational'],[0.419874906539917],0.05
I am resilient in the face of difficult situations.,Llama-4,['Emotional'],[0.5162979364395142],0.05
I appreciate positive and positive people in my life.,Llama-4,"['Spiritual', 'Social']","[0.3800233006477356, 0.3307517170906067]",0.05
"I am confident that I can handle unpleasant or painful feelings like sadness, fear, and anger.",Llama-4,['Emotional'],[0.4843687117099762],0.05
I am very grateful for what I have and am satisfied with most parts of my life.,Llama-4,['Occupational'],[0.3883574306964874],0.05
I will always strive to do better in what I do.,Llama-4,"['Occupational', 'Intellectual']","[0.37968340516090393, 0.34607404470443726]",0.05
I am always optimistic about the things that keep me from feeling depressed.,Llama-4,['Emotional'],[0.37681981921195984],0.05
I am never too old to laugh.,Llama-4,['Intellectual'],[0.12179253250360489],0.05
Often I get in trouble for making my own decisions.,Llama-4,"['Financial', 'Intellectual', 'Emotional']","[0.20014533400535583, 0.17368927597999573, 0.16208258271217346]",0.05
I am feeling lonely and overwhelmed.,Llama-4,"['Emotional', 'Occupational']","[0.26326942443847656, 0.2274089902639389]",0.05
"In the past, I rarely did anything to expect to go my way.",Llama-4,"['Social', 'Financial', 'Spiritual']","[0.1329621970653534, 0.11630355566740036, 0.08553370088338852]",0.05
I am able to deal with any challenges I encounter.,Llama-4,['Emotional'],[0.3599424362182617],0.05
"I am a leader, I feel so confident, but I can't handle being so alone.",Llama-4,"['Emotional', 'Social']","[0.24733048677444458, 0.2266203761100769]",0.05
I tend to overcome major life challenges with greater stability and peace.,Llama-4,['Emotional'],[0.44677963852882385],0.05
I am very resilient.,Llama-4,['Emotional'],[0.41635677218437195],0.05
I am resilient and will be able to handle any challenge or stress in life.,Llama-4,['Emotional'],[0.5307185649871826],0.05
"I struggle to adjust to new situations, new people, and new environments.",Llama-4,['Emotional'],[0.42896291613578796],0.05
I have always fought for what I believe in.,Llama-4,['Spiritual'],[0.30811524391174316],0.05
I am in control of my life.,Llama-4,"['Intellectual', 'Emotional', 'Spiritual']","[0.23086373507976532, 0.22796112298965454, 0.21791860461235046]",0.05
I find it hard to interact with those around me.,Llama-4,['Social'],[0.3113674223423004],0.05
Sometimes I am unable to reach out and communicate with those around me,Llama-4,['Social'],[0.23639102280139923],0.05
I don't feel like myself.,Llama-4,"['Physical', 'Spiritual', 'Emotional']","[0.17573635280132294, 0.17230194807052612, 0.1455887258052826]",0.05
Sometimes I feel alone in my life.,Llama-4,"['Emotional', 'Social', 'Spiritual']","[0.29089051485061646, 0.26375147700309753, 0.25430139899253845]",0.05
I feel happy that I can make it in the world.,Llama-4,"['Occupational', 'Emotional', 'Intellectual']","[0.26532241702079773, 0.258139431476593, 0.2314092069864273]",0.05
I feel a sense of responsibility about my future.,Llama-4,"['Intellectual', 'Financial']","[0.3565077781677246, 0.33757081627845764]",0.05
"When I try to achieve my goals, I may not accomplish what I would like to do.",Llama-4,"['Occupational', 'Intellectual', 'Physical']","[0.29174280166625977, 0.27732667326927185, 0.25367823243141174]",0.05
I believe my choices will be beneficial.,Llama-4,['Intellectual'],[0.2816457450389862],0.05
I'm hopeful that I'll accomplish my dreams.,Llama-4,"['Intellectual', 'Occupational']","[0.2601539194583893, 0.22899006307125092]",0.05
I enjoy taking the time to think about the future.,Llama-4,['Intellectual'],[0.3285190165042877],0.05
I am optimistic in my future self.,Llama-4,"['Financial', 'Intellectual', 'Spiritual', 'Physical']","[0.30012768507003784, 0.28129103779792786, 0.2625730037689209, 0.2581591308116913]",0.05
I focus on the present and can live life to the fullest without concern for the future.,Llama-4,"['Intellectual', 'Spiritual']","[0.37740588188171387, 0.33357518911361694]",0.05
I have a single devoted boyfriend,Llama-4,"['Social', 'Financial', 'Spiritual']","[0.1351398229598999, 0.11811672151088715, 0.09318049252033234]",0.05
I am very content in my current relationship.,Llama-4,"['Financial', 'Spiritual', 'Intellectual', 'Social']","[0.2853635847568512, 0.2553330063819885, 0.2469482272863388, 0.24016736447811127]",0.05
I am happy being so withdrawn.,Llama-4,['Emotional'],[0.21201740205287933],0.05
I am not afraid of being disappointed.,Llama-4,"['Emotional', 'Financial', 'Intellectual']","[0.04240866377949715, 0.010408435948193073, 0.006868244614452124]",0.05
I am often influenced by others.,Llama-4,['Social'],[0.41461509466171265],0.05
I am not often discouraged by failure.,Llama-4,['Emotional'],[0.27957025170326233],0.05
"I believe I need support from my family members and friends, but it is difficult for me to make friends.",Llama-4,['Social'],[0.40253472328186035],0.05
"I have had trouble staying awake while driving, eating meals, or engaging in social activity.",Llama-4,"['Physical', 'Intellectual', 'Social', 'Emotional', 'Occupational']","[0.18052516877651215, 0.16234329342842102, 0.14872850477695465, 0.1317129135131836, 0.13078123331069946]",0.05
"I am lonely. I cannot connect with my loved ones, and my life is often void of positive mental stimulation.",Llama-4,"['Spiritual', 'Social']","[0.3265506327152252, 0.29309141635894775]",0.05
I know it can be difficult to cope with failures.,Llama-4,['Emotional'],[0.3351069688796997],0.05
I am a strong and resilient person.,Llama-4,['Emotional'],[0.4653552770614624],0.05
I can't communicate in an effective way,Llama-4,"['Emotional', 'Social']","[0.18129892647266388, 0.14365039765834808]",0.05
I feel lonely and feel like I am always left alone in my daily life.,Llama-4,"['Emotional', 'Occupational', 'Social']","[0.26849114894866943, 0.25296518206596375, 0.2363741248846054]",0.05
I have no friends or family close by.,Llama-4,['Social'],[0.3404655158519745],0.05
I am a successful person.,Llama-4,"['Occupational', 'Financial', 'Intellectual']","[0.345114529132843, 0.33132505416870117, 0.31396910548210144]",0.05
I'm still finding my purpose and purpose in life.,Llama-4,['Occupational'],[0.4286525845527649],0.05
I enjoy being a part of my community and socializing.,Llama-4,['Social'],[0.5340722799301147],0.05
I sometimes think I have done enough.,Llama-4,"['Occupational', 'Intellectual', 'Emotional', 'Financial']","[0.15219804644584656, 0.12747782468795776, 0.11576653271913528, 0.1115698292851448]",0.05
I sometimes think I have done all there is to do in life and I sometimes feel as if I've done all I can in life.,Llama-4,"['Occupational', 'Spiritual']","[0.3680453896522522, 0.32167381048202515]",0.05
I sometimes feel like I am a failed person.,Llama-4,['Emotional'],[0.31859633326530457],0.05
I sometimes feel as if I have already done all there is to do in life.,Llama-4,"['Occupational', 'Intellectual']","[0.35810986161231995, 0.31544172763824463]",0.05
I can handle my responsibilities.,Llama-4,"['Occupational', 'Intellectual']","[0.31753242015838623, 0.3100828230381012]",0.05
I feel able to cope with change.,Llama-4,['Emotional'],[0.3874005675315857],0.05
I am able to handle my responsibilities.,Llama-4,"['Occupational', 'Intellectual', 'Financial']","[0.33538684248924255, 0.30753418803215027, 0.28953635692596436]",0.05
I have a feeling of direction in my life.,Llama-4,['Spiritual'],[0.30246368050575256],0.05
I feel as if nobody understands me,Llama-4,"['Emotional', 'Spiritual', 'Intellectual']","[0.23931828141212463, 0.22573545575141907, 0.19631274044513702]",0.05
I am able to understand the meaning of life.,claude-sonnet-4.5,['Spiritual'],[0.456128865480423],0.05
I lead a meaningful and purposeful life.,claude-sonnet-4.5,['Spiritual'],[0.43809542059898376],0.05
I find that my mental health improves and that my life is meaningful.,claude-sonnet-4.5,"['Spiritual', 'Emotional']","[0.44241398572921753, 0.40832582116127014]",0.05
I feel fulfilled in my life.,claude-sonnet-4.5,"['Occupational', 'Emotional', 'Social']","[0.3407835364341736, 0.3300938606262207, 0.301251083612442]",0.05
I sometimes feel sad or depressed.,claude-sonnet-4.5,['Emotional'],[0.3658067584037781],0.05
"In general, I am not as mentally healthy as other people.",claude-sonnet-4.5,['Physical'],[0.30551639199256897],0.05
I always have been well with my physical health.,claude-sonnet-4.5,['Physical'],[0.5614305734634399],0.05
I have a good relationship with my parents.,claude-sonnet-4.5,['Social'],[0.3759612441062927],0.05
Sometimes I do not understand why people are attracted to me compared to other people.,claude-sonnet-4.5,['Social'],[0.36562514305114746],0.05
I am generally confident about my ability to help people.,claude-sonnet-4.5,['Social'],[0.41026318073272705],0.05
It is important to me that I feel happy and confident in the sphere of my own life.,claude-sonnet-4.5,"['Social', 'Emotional', 'Occupational']","[0.40403255820274353, 0.3741542398929596, 0.3685593605041504]",0.05
My social interaction does not interfere with my ability to feel and function well.,claude-sonnet-4.5,['Social'],[0.4762275815010071],0.05
My day is fairly balanced.,claude-sonnet-4.5,['Occupational'],[0.3036603331565857],0.05
I do not have any issues with focusing.,claude-sonnet-4.5,"['Physical', 'Financial', 'Intellectual', 'Occupational']","[0.10966137796640396, 0.09912317991256714, 0.09652116149663925, 0.06511011719703674]",0.05
The amount of information that I process in a typical day is just about right for me.,claude-sonnet-4.5,"['Occupational', 'Intellectual']","[0.23669640719890594, 0.2187652587890625]",0.05
I feel as if I've done everything there is to do in life.,claude-sonnet-4.5,['Occupational'],[0.3611918091773987],0.05
I sometimes feel as if I haven't accomplished much in my life.,claude-sonnet-4.5,['Occupational'],[0.3815196454524994],0.05
"When I am in need, my family is there for me.",claude-sonnet-4.5,"['Emotional', 'Social', 'Occupational']","[0.26405343413352966, 0.24566435813903809, 0.22683466970920563]",0.05
I am usually happy to be with my family.,claude-sonnet-4.5,"['Social', 'Emotional', 'Occupational']","[0.27143439650535583, 0.26732122898101807, 0.25639772415161133]",0.05
I have not always had friends with whom I could share my joys and sorrows.,claude-sonnet-4.5,['Social'],[0.3660908341407776],0.05
I typically find intellectual challenges to be vital to my overall well-being.,claude-sonnet-4.5,['Intellectual'],[0.6053664684295654],0.05
"In the past, I usually find intellectual challenges to be vital to my overall well-being.",claude-sonnet-4.5,['Intellectual'],[0.587759256362915],0.05
"In the past, I have found intellectual challenges to be vital to my overall well-being.",claude-sonnet-4.5,['Intellectual'],[0.5865727663040161],0.05
I have found intellectual challenges to be vital to my overall well-being.,claude-sonnet-4.5,['Intellectual'],[0.6013345122337341],0.05
I enjoy taking an intellectual challenge for a number of reasons and enjoy taking time to think about my own self and others.,claude-sonnet-4.5,['Intellectual'],[0.5507954359054565],0.05
I feel sad and lonely being alone,claude-sonnet-4.5,['Emotional'],[0.33404672145843506],0.05
"I feel tired, sleepless, and lonely.",claude-sonnet-4.5,"['Emotional', 'Physical', 'Occupational']","[0.22503307461738586, 0.21075104176998138, 0.19603227078914642]",0.05
I try to achieve my goals.,claude-sonnet-4.5,"['Intellectual', 'Financial']","[0.3358536660671234, 0.2864157259464264]",0.05
In many ways I feel frustrated about my achievements in life.,claude-sonnet-4.5,"['Occupational', 'Emotional', 'Intellectual']","[0.31904542446136475, 0.30283787846565247, 0.2969512641429901]",0.05
The amount of stress I feel in my life is quite normal.,claude-sonnet-4.5,['Emotional'],[0.3621375858783722],0.05
"In the past, I have received the best.",claude-sonnet-4.5,"['Social', 'Emotional']","[0.14140909910202026, 0.11322551220655441]",0.05
I tend to feel insecure about my abilities and I have difficulty being loved by others.,claude-sonnet-4.5,"['Social', 'Emotional']","[0.38682740926742554, 0.37290292978286743]",0.05
I feel lonely,claude-sonnet-4.5,"['Social', 'Emotional']","[0.24653787910938263, 0.23951005935668945]",0.05
I feel cynical about my skills.,claude-sonnet-4.5,['Intellectual'],[0.36207592487335205],0.05
I have problems in my personal relationships.,claude-sonnet-4.5,['Social'],[0.3905004560947418],0.05
I know my family and friends will always love me and will be there for me if I need them.,claude-sonnet-4.5,"['Social', 'Emotional']","[0.2637653052806854, 0.220315083861351]",0.05
I find that being alone can make me feel bad.,claude-sonnet-4.5,['Emotional'],[0.3226936459541321],0.05
I never feel comfortable sharing my family life with others.,claude-sonnet-4.5,['Social'],[0.31210485100746155],0.05
I am not satisfied with my relationships with my family or friends.,claude-sonnet-4.5,['Social'],[0.35750681161880493],0.05
I try to see the funny side of things.,claude-sonnet-4.5,"['Emotional', 'Environmental', 'Intellectual', 'Social']","[0.14406952261924744, 0.10871018469333649, 0.10420304536819458, 0.09548480808734894]",0.05
I think most problems that I encounter are related to a person who is self-centered.,claude-sonnet-4.5,"['Social', 'Intellectual']","[0.3334832191467285, 0.30375608801841736]",0.05
I try to see the positive side of things when faced with challenges.,claude-sonnet-4.5,['Emotional'],[0.33908015489578247],0.05
I always look on the bright side of things when I am faced with problems.,claude-sonnet-4.5,['Emotional'],[0.3023470938205719],0.05
I sometimes feel as if I have done all there is to do in life.,claude-sonnet-4.5,['Occupational'],[0.34456124901771545],0.05
"I feel as if I've done all there is to do in life and this is a negative thought, as my own personal experiences have",claude-sonnet-4.5,"['Occupational', 'Emotional', 'Spiritual']","[0.3107511103153229, 0.2786255478858948, 0.27638354897499084]",0.05
I think I might be in an 'ok place'.,claude-sonnet-4.5,['Environmental'],[0.3375178277492523],0.05
I feel like I've never accomplished anything.,claude-sonnet-4.5,"['Occupational', 'Emotional']","[0.2673629820346832, 0.22260569036006927]",0.05
I am able to handle the demands of everyday life.,claude-sonnet-4.5,"['Emotional', 'Occupational']","[0.3981662392616272, 0.3607555627822876]",0.05
"I am capable of managing unpleasant or painful feelings like sadness, fear, and anger.",claude-sonnet-4.5,['Emotional'],[0.5543897747993469],0.05
I am comfortable being alone.,claude-sonnet-4.5,"['Social', 'Emotional']","[0.31493857502937317, 0.28745749592781067]",0.05
I believe that life has a purpose.,claude-sonnet-4.5,"['Spiritual', 'Environmental']","[0.2914798855781555, 0.25154930353164673]",0.05
I appreciate the amount of intellectual stimulation I receive in my daily life.,claude-sonnet-4.5,['Intellectual'],[0.5628413558006287],0.05
"Generally, I feel satisfied with my personal life and the amount of intellectual stimulation I receive in my daily life.",claude-sonnet-4.5,"['Occupational', 'Intellectual']","[0.49454063177108765, 0.44639918208122253]",0.05
I believe my life's journey should have a purpose.,claude-sonnet-4.5,"['Spiritual', 'Occupational']","[0.3733418583869934, 0.3270178437232971]",0.05
I enjoy writing.,claude-sonnet-4.5,['Intellectual'],[0.2662067413330078],0.05
I tend to be anxious and scared.,claude-sonnet-4.5,['Emotional'],[0.3313695788383484],0.05
I am unable to reach out and communicate with those around me.,claude-sonnet-4.5,['Social'],[0.2351006269454956],0.05
I try to stay positive and work through difficulties,claude-sonnet-4.5,"['Emotional', 'Occupational']","[0.35841530561447144, 0.3251968026161194]",0.05
I work to achieve goals.,claude-sonnet-4.5,"['Occupational', 'Intellectual']","[0.36754199862480164, 0.3189084529876709]",0.05
I am very successful at work and have a stable income.,claude-sonnet-4.5,['Financial'],[0.34572896361351013],0.05
